title,author_info,rating,pros,cons,helpful
"Work hard, learn lots, and have a good rest on weekends.","Aug 16, 2014 - Hardware Engineer in Tokyo",3,"- Strong focus on learning and training - Many opportunities (meaning a lot of work that you can do, and multi-tasking) - Get to be on the frontier of consumer electronics",- Little personal time on weekdays - Volume of work leaves little time for learning and self-improvement - Too much time spent on meetings,Be the first to find this review helpful
Engineer,"Aug 10, 2014 - Senior Engineer in London, England",3,"Excellent company, leader in their field.",Too many organizational changes in a really short period of time.,1 person found this review helpful
Depends on which team your work in,"Aug 10, 2014 - Lead Technical Analyst in Bangalore",4,Few teams are very good technical work. Work culture is overall good. Appraisals are usually fair. Raise in salary is also mostly commensurate with what is deserved.,Some teams do not have good quality development work. As with every organization some people try to play politics. And overall in organization number of teams involved in good quality development needs to increase.,Be the first to find this review helpful
paying very less to their employee,"Aug 7, 2014 - RF Engineer in Mumbai",2,"Work in ericsson on roll,do not opt for off roll positions, a person working on off roll position has to work continuously and has very less chances of development.","Major problem is you have to work 24x7,no Saturday no sunday . The management never listen to employees they do what ever they want",Be the first to find this review helpful
"It was very good company to work, i joined as fresher","Jul 18, 2014 - Senior Software Engineer in Bangalore",5,"Very good hike, value for work",less chance to switch project internally,Be the first to find this review helpful
"Very corporate, but fairly transparent.","Aug 1, 2014 - Anonymous Employee in Toronto, ON",3,"Company pays well and promotes a ""green"" environment.",Work/life balance can be a challenge.,Be the first to find this review helpful
product manager,"Jul 29, 2014 - Assistant Product Manager in Paris",4,"close to latest technology , trends Great opportunities to move from one department to another.",too slow decision making sometime as any big company I guess.,Be the first to find this review helpful
Good place for techies,"Jul 27, 2014 - Senior Consultant in Bangalore",4,Good Salaries Good Policies Good Hikes Good place to retire from,"Too much hierarchy Avg. Age of Senior Management is 55, which obviously reduces the aggression in them and they are not willing to take risks to expand the business. Not many challenging roles Not a place for aggressive people looking to grow in the industry",Be the first to find this review helpful
Excellent organisation !,"Jul 19, 2014 - Anonymous Employee",4,Freedom to learn and contribute,slow decision making process low growth opportunities,Be the first to find this review helpful
Great multinational experience,"Jul 9, 2014 - Sales Support Specialist in Budapest",4,"The connection between departments gives a very good insight into how the company operates Patient, helpful people",Management doesn't seem to know or care about each other's subordinates duties and assign a heavy load of different types of tasks whether that employee knows how to do it or not.,4 people found this review helpful
"A company going through tough times, but there is light ahead...","Jul 7, 2014 - Marketing",4,"Great company, good teams and people to work with, discounts are amazing, work life balance is good","Management is slow to act, very centralized decision making. Guidance from Japan doesn't fit in to North American markets, low financial support to complete projects. Contentiously taking a beating in so many product categories that they need to seriously scope the future for survival.",Be the first to find this review helpful
waste of my time,"Jul 21, 2014 - Analyst in Beijing, Beijing",1,"easy task, stable jobs, free (old) phones, pay your phone bill, alot of free time, free shuttle bus no over time global team, nice Swedish managers","totally waste of time, didnt learn anything useful can't benefit future career too many non-smart people to drag down your level",1 person found this review helpful
Terrible Upper management,"Jul 21, 2014 - Part-Time Sales Associate",1,It was Sony. That was very cool.,Head Office never understood how hard it was for the staff. Upper Management always made the wrong choices for Store Locations. Big Heads little brains.,Be the first to find this review helpful
Training & training,"Jun 28, 2014 - Market Development Manager in Jeddah",4,"i like telecommunication sector & Sony Mobile one of my favorite company , most of my electric devices made by Sony .",when company launch new models but i know how to deal with my clients & with time everything become very easy .,Be the first to find this review helpful
Is Manager for Chile and Bolivia,"Jun 11, 2014 - IS Manager in Santiago",5,"Local company values, compoany lidership int the electronic sector",The company is having seriuos profitability problems,Be the first to find this review helpful
I love sony,"Jun 21, 2014 -",4,good environment and love to work with sony again,need to improvements in trainings,Be the first to find this review helpful
unfortunately the sun has set on this innovative company. once the founders left the company a bitter infighting started,"Jun 19, 2014 - Anonymous Employee",3,depends very much on which operating company you work for. Working in electronics is different then working in entertainment or insurance in electronics depending on country organization a lot of independence was given to local management. Although I have heard that this has changed since the recent reorgs,very silo oriented. every department thinking of its own,Be the first to find this review helpful
Good memories,"Jun 16, 2014 - Warehouse in Viladecavalls",3,"Good collegues, the best warehouse team ever :)",I never was encouraged to try something else.,Be the first to find this review helpful
Interesting challenges but strategical failures from Management,"Jun 11, 2014 - Supply Chain Management in Brussels",3,Challenging industry and great products Inspiring values,Lack of long-term vision strategical failures from Management,Be the first to find this review helpful
Not good place for hard working people,"Jul 2, 2014 - Project Lead in Bangalore",1,Good place for freshers to start career. Good support from few good managers. Co-curriculum activities are more.,Have worked in Sony for more than 8yrs. Trust me last 1yr was not good with the way competency treating resource. People who don't know Java r Java tech lead & p&t mangers. Its all because of non competent Sr mgr leading P&T competency. If u don't accept the worst project they assign then they won't support u in career growth.,Be the first to find this review helpful
Good place to work,"May 25, 2014 - Digital Design Engineer in Atsugi",4,Good people and workplace to work.,Lifetime employment disappeared. Prepare for changing situation.,Be the first to find this review helpful
Product quality still no. 1,"May 21, 2014 - Human Resources Specialist in Weybridge, England",4,"Lots of opportunity to learn, multicultural environment challenging and stimulating. Great people. Still no. 1 brand for me. Shame they lost their leadership position in the market. I hope they will turfn a corner and beclme no 1 again one day.",Culture not as strong as it used to be. Ongoing cost cutting doesnt seem to stop. Can be very political. Different measures for different people.,1 person found this review helpful
"Good, very friendly and conducive environment to work in.","May 14, 2014 - Sales Executive in Singapore",3,Regular trainings and employee welfare is being taken care of.,Constant standing and do not have the chance to mingle with the higher management.,Be the first to find this review helpful
